annual_production,annual_production_unit,capacity,capacity_unit,cost,cost_unit,country,country_ownership,esg_impact_ecological,esg_impact_social,esg_link,esg_story,id,image,latitude,longitude,parent_esg_impact,parent_project_type,project_id,project_name,project_type,province_city,relevant_links,shareholder_ownership,source,source_id,status
,ton,13500,ton,225800000,USD,Indonesia,Indonesia:100,Air Pollution;Soil Pollution,,https://www.mongabay.co.id/2021/05/04/tambang-antam-cemari-pesisir-halmahera-timur,,4Cbu2WwzcO9amcSqVUIWBO,,0.8423991748,128.2551442,ecological,Processing,4Cbu2WwzcO9amcSqVUIWBO,Pabrik Feronikel Haltim Aneka Tambang (P3FH),Ferro Nickel,"Maluku Utara, Halmahera Timur",https://www.antam.com/uploads/proyek-pengembangan-antam.pdf,Mind ID:65;Publik:35,indonesia,4Cbu2WwzcO9amcSqVUIWBO,Active
97458,ton,1200000,ton,-,USD,Indonesia,Indonesia:100,Air Pollution;Soil Pollution;Noise Pollution,,https://www.serangtimur.co.id/2024/01/berdosa-terhadap-lingkungan-dan-negara.html,,4Cbu2WwzcO9amcSqVUIWRC,,-6.185276224,106.3402779,ecological,Processing,4Cbu2WwzcO9amcSqVUIWRC,Cahaya Modern Metal Industri (CMMI),Nickel Pig Iron,"Banten, Serang City",https://www.sultannews.co.id/2024/01/pt-cahaya-modern-metal-industri-disegel.html;https://www.cnbcindonesia.com/news/20211027150629-4-286956/1-smelter-nikel-baru-telah-beroperasi-tahun-ini-punya-siapa,Modern Cahaya Makmur:99;Siwie Honoris:1,indonesia,4Cbu2WwzcO9amcSqVUIWRC,Active
,ton,,ton,1800000000,USD,Indonesia,China:60;Indonesia:40,,,,,4Cbu2WwzcO9amcSqVUIWkA,,0.8448542774,128.2665241,,Processing,4Cbu2WwzcO9amcSqVUIWkA,CBL Investment Indonesia - Ferro Nickel,Ferro Nickel,"Maluku Utara, Halmahera Timur",https://www.thejakartapost.com/business/2023/12/22/indonesia-cbl-reach-420-million-deal-on-ev-battery-industry.html;http://www.cbl.com.cn/en/,Antam:40;HKCBL:60,indonesia,4Cbu2WwzcO9amcSqVUIWkA,Planned
24459,ton,641026,ton,50000000,USD,Indonesia,Indonesia:100,Air Pollution,,https://banten.inews.id/read/199749/protes-polusi-udara-warga-demo-pt-century-metalindo-di-kawasan-industri-modern/2,,4Cbu2WwzcO9amcSqVUIX38,,-6.186128863,106.3148993,ecological,Processing,4Cbu2WwzcO9amcSqVUIX38,Century Metalindo,Ferro Nickel,"Banten, Serang Regency",https://banten.inews.id/read/199749/protes-polusi-udara-warga-demo-pt-century-metalindo-di-kawasan-industri-modern; https://faktabanten.co.id/industri/pt-century-metalindo-di-cikande-timbulkan-debu-dan-bising-yang-ganggu-warga/,Eddy S. Setiawan,indonesia,4Cbu2WwzcO9amcSqVUIX38,Active
,ton,1800000,ton,3000000000,USD,Indonesia,China,Air Pollution,Poor Work Safety,"https://toraja.tribunnews.com/2023/12/30/rentetan-peristiwa-di-pt-gni-morowali-utara-setahun-terakhir-total-6-korban-jiwa,https://celios.co.id/wp-content/uploads/2024/02/EN-CREA_CELIOS-Indonesia-Nickel-Development-2024.pdf",,4Cbu2WwzcO9amcSqVUIXPG,,-1.998158249,121.4355134,ecological;social,Processing,4Cbu2WwzcO9amcSqVUIXPG,Gunbuster Nickel Industry (GNI),Ferro Nickel,"Sulawesi Tengah, Morowali Regency",https://www.thejakartapost.com/indonesia/2023/06/29/blaze-at-morowali-nickel-smelter-kills-worker-wounds-6.html,Jiangsu Delong Nickel Industry Co. Ltd,indonesia,4Cbu2WwzcO9amcSqVUIXPG,Active
,ton,240000,ton,1000000000,USD,Indonesia,China:54.9;Indonesia:45.1,Air Pollution,"Intimidation, Suppression, Criminalization of Local Communities","https://betahita.id/news/detail/8627/jatam-surati-ojk-soal-kerusakan-lingkungan-pulau-obi.html?v=1681894184,https://drive.google.com/file/d/1lmry4dEO4ZG9ix9CImHfz2gRxED6nYi8/view",,4Cbu2WwzcO9amcSqVUIXiE,,-1.539017131,127.4179665,ecological;social,Processing,4Cbu2WwzcO9amcSqVUIXiE,Halmahera Persada Lygend - Nickel Sulfate,Nickel Sulfate,"Maluku Utara, Halmahera Selatan",https://www.reuters.com/article/indonesia-harita/indonesias-halmahera-persada-lygend-inaugurates-nickel-sulphate-plant-idUSL4N37T0S5/;https://www.liputan6.com/bisnis/read/5088133/harita-nickel-kucurkan-rp-15-triliun-bangun-smelter-di-pulau-obi?page=2,Kang Xuan Pte Ltd:18;Lygend Resources Technology Co. Ltd:36.9;PT Trimegah Bangun Persada Tbk:45.1,indonesia,4Cbu2WwzcO9amcSqVUIXiE,Active
,ton,250000,ton,240000000,USD,Indonesia,China:51;Indonesia:49,Water Pollution;Air Pollution,Corruption & Illegal Activity,https://www.mongabay.co.id/2023/08/25/riset-smelter-nikel-di-bantaeng-punya-dampak-buruk-untuk-lingkungan-dan-warga-sekitar/,,4Cbu2WwzcO9amcSqVUIXri,,-5.57955341,120.0659886,ecological,Processing,4Cbu2WwzcO9amcSqVUIXri,Huadi Nickel-Alloy Indonesia,Ferro Nickel,"Sulawesi Selatan, Bantaeng Regency",https://www.mongabay.co.id/2023/12/31/kutukan-nikel-daeng-nuru-dan-kampung-pajjukukang/;https://huadi.co.id/hni/,Duta Nickel Sulawesi:49;Shanghai Huadi Industrial Ltd:51,indonesia,4Cbu2WwzcO9amcSqVUIXri,Active
,ton,600000,ton,1020000000,USD,Indonesia,China: 65; Indonesia:25; Japan:5,Water Pollution;Air Pollution;Soil Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,Poor Work Safety,"https://nasional.tempo.co/read/1813769/sederet-kecelakaan-kerja-yang-terjadi-di-indonesia-morowali-industrial-park,https://www.rai.it/dl/doc/2023/11/19/1700402970903_I%20rapporti%20su%20filiera%20del%20nichel%20indonesiana%20-%20Report.pdf",,4Cbu2WwzcO9amcSqVUIY4M,,-2.828109296,122.1623878,ecological;social,Processing,4Cbu2WwzcO9amcSqVUIY4M,Indonesia Guang Ching Nickel and Stainless Steel Industry,Nickel Pig Iron,"Sulawesi Tengah, Morowali",https://ketapel.beacukai.go.id/masuk/read/kanwil_bea_cukai_sulbagtara_lakukan_monitoring_evaluasi_umum_kite_pada_pt_indonesia_guang_ching_nickel_and_stainless_steel_industry_pt_igcns.html;https://www.esdm.go.id/en/media-center/news-archives/hingga-2018-pertumbuhan-smelter-nikel-masih-nomor-1,Guangdong J-Eray Technology Group Co. Ltd:35; Guangdong Guangxin Holdings Group Ltd:25; IMIP:25; Luck Scenery International Limited:5; Hanwa Company Limited:5,indonesia,4Cbu2WwzcO9amcSqVUIY4M,Active
,ton,240000,ton,320000000,USD,Indonesia,China:40;Indonesia:60,Air Pollution,"Intimidation, Suppression, Criminalization of Local Communities","https://betahita.id/news/detail/8627/jatam-surati-ojk-soal-kerusakan-lingkungan-pulau-obi.html?v=1681894184,https://drive.google.com/file/d/1lmry4dEO4ZG9ix9CImHfz2gRxED6nYi8/view",,4Cbu2WwzcO9amcSqVUIYDq,,-1.528289556,127.422782,ecological;social,Processing,4Cbu2WwzcO9amcSqVUIYDq,Megah Surya Pertiwi,Ferro Nickel,"Maluku Utara, Halmahera Selatan",https://industri.kontan.co.id/news/empat-lini-smelter-megah-surya-pertiwi-mulai-beroperasi; https://www.esdm.go.id/id/media-center/arsip-berita/investasi-dan-keberlangsungan-operasi-fasilitas-pemurnian-pasca-peraturan-pemerintah-nomor-1-tahun-2017,Gane Permai Sentosa:10;Harita Jayaraya:20;Trimegah Bangun Persada:30;Xinxing Qiyun Investment Holding PLE LTD:40,indonesia,4Cbu2WwzcO9amcSqVUIYDq,Active
130508,ton,130000,ton,-,USD,Indonesia,Indonesia:100,Water Pollution;Air Pollution,,,,4Cbu2WwzcO9amcSqVUIYsw,,-2.79774,122.08533,,Processing,4Cbu2WwzcO9amcSqVUIYsw,Ang and Fang Brother,Ferro Nickel,"Sulawesi Tengah, Morowali",https://www.metrosulteng.com/sosial-budaya/5198130966/7-miliar-dana-csr-tidak-dibayar-warga-morowali-demo-pt-ang-fang-brother;https://www.iglobalnews.co.id/2020/02/pt-ang-and-fang-brother-genjot-lokasi-persiapan-pembangunan-smelter-dan-reklamasi/,Daniel Lawy:16;Louise Lurance Lawy:16;Lukito Hartono Lawy:16;Lukmanto Lawy:32;Sjane Kianto:20,indonesia,4Cbu2WwzcO9amcSqVUIYsw,Active
