capacity_mw,country,geopoint,latitude,longitude,parent,plant,region,status,subnational_unit,unit,url
150,Indonesia,"-8.90121,116.7393",-8.90121,116.7393,Amman Mineral Nusa Tenggara,Amman Mineral Power Station,Asia,Cancelled,West Nusa Tenggara,Unit 6,https://www.gem.wiki/Amman_Mineral_power_station
30,Indonesia,"1.1825,124.48056",1.1825,124.48056,Pt Pln (Persero),Amurang-2 Power Station,Asia,Operating,North Sulawesi,Unit 1,https://www.gem.wiki/Amurang-2_power_station
30,Indonesia,"1.1825,124.48056",1.1825,124.48056,Pt Pln (Persero),Amurang-2 Power Station,Asia,Operating,North Sulawesi,Unit 2,https://www.gem.wiki/Amurang-2_power_station
100,Indonesia,"-3.92653,115.10581",-3.92653,115.10581,Banjarmasin-B Project,Asam-Asam Power Station,Asia,Construction,South Kalimantan,Unit 5,https://www.gem.wiki/Asam-Asam_power_station
100,Indonesia,"-3.92653,115.10581",-3.92653,115.10581,Banjarmasin-B Project,Asam-Asam Power Station,Asia,Construction,South Kalimantan,Unit 6,https://www.gem.wiki/Asam-Asam_power_station
65,Indonesia,"-3.92653,115.10581",-3.92653,115.10581,Pt Pln (Persero),Asam-Asam Power Station,Asia,Operating,South Kalimantan,Unit 1,https://www.gem.wiki/Asam-Asam_power_station
65,Indonesia,"-3.92653,115.10581",-3.92653,115.10581,Pt Pln (Persero),Asam-Asam Power Station,Asia,Operating,South Kalimantan,Unit 2,https://www.gem.wiki/Asam-Asam_power_station
100,Indonesia,"-2.75,103.83333",-2.75,103.83333,Astra International,Astratel Power Station,Asia,Cancelled,Kalimantan,Phase I,https://www.gem.wiki/Astratel_power_station
100,Indonesia,"0.605,117.481",0.605,117.481,Bakrie Group,Bakrie Sangatta Power Station,Asia,Cancelled,East Kalimantan,Unit 2,https://www.gem.wiki/Bakrie_Sangatta_power_station
660,Indonesia,"-3.734,103.759",-3.734,103.759,China Huadian Group Corp [55.0%]; Pt Bukit Asam Tbk [45.0%],Bangko Tengah Power Station,Asia,Cancelled,South Sumatra,Unit 3,https://www.gem.wiki/Bangko_Tengah_power_station
110,Indonesia,"-3.72507,103.69039",-3.72507,103.69039,Pt Bukit Asam Tbk [59.8%]; Pt Pln (Persero) [37.2%],Banjarsari Power Station,Asia,Operating,South Sumatra,Unit 2,https://www.gem.wiki/Banjarsari_power_station
300,Indonesia,"-6.48576,106.03813",-6.48576,106.03813,Btn Power; Pt Biidznillah Tambang Nusantara,Banten Bse Power Station,Asia,Cancelled,Banten,Unit 2,https://www.gem.wiki/Banten_BSE_power_station
300,Indonesia,"-6.39218,105.82778",-6.39218,105.82778,Pt Pln (Persero),Banten Labuan Power Station,Asia,Operating,Banten,Unit 2,https://www.gem.wiki/Banten_Labuan_power_station
660,Indonesia,"-5.88297,106.04593",-5.88297,106.04593,Genting Group,Banten Serang Power Station,Asia,Operating,Banten,Unit 1,https://www.gem.wiki/Banten_Serang_power_station
625,Indonesia,"-5.88922,106.0336",-5.88922,106.0336,Pt Pln (Persero),Banten Suralaya Power Station,Asia,Operating,Banten,Unit 08,https://www.gem.wiki/Banten_Suralaya_power_station
400,Indonesia,"-5.89191,106.03023",-5.89191,106.03023,Pt Pln (Persero),Banten Suralaya Power Station,Asia,Operating,Banten,"Phase I, Unit 1",https://www.gem.wiki/Banten_Suralaya_power_station
31,Indonesia,"-8.90117,116.73821",-8.90117,116.73821,Newmont Corp,Batu Hijau Power Station,Asia,Operating,West Nusa Tenggara,Unit 1,https://www.gem.wiki/Batu_Hijau_power_station
31,Indonesia,"-8.90117,116.73821",-8.90117,116.73821,Newmont Corp,Batu Hijau Power Station,Asia,Operating,West Nusa Tenggara,Unit 3,https://www.gem.wiki/Batu_Hijau_power_station
100,Indonesia,"-3.91235,102.27038",-3.91235,102.27038,Power Construction Corporation Of China Ltd [70.0%]; Pt Intraco Penta [30.0%],Bengkulu Power Station,Asia,Operating,Bengkulu,Unit 2,https://www.gem.wiki/Bengkulu_power_station
65,Indonesia,"-3.73213,103.79753",-3.73213,103.79753,Pt Pln (Persero),Bukit Asam Muara Enim Power Station,Asia,Operating,South Sumatra,Unit 4,https://www.gem.wiki/Bukit_Asam_Muara_Enim_power_station
200,Indonesia,"0.605,117.481",0.605,117.481,Pt Bumi Resources,Bumi Sangatta Power Station,Asia,Shelved,East Kalimantan,Unit 1,https://www.gem.wiki/BUMI_Sangatta_power_station
142,Indonesia,"-8.19629,114.85157",-8.19629,114.85157,Pt General Energy Indonesia; Pt Merryline International,Celukan Bawang Power Station,Asia,Operating,Bali,Unit 2,https://www.gem.wiki/Celukan_Bawang_power_station
330,Indonesia,"-8.19629,114.85157",-8.19629,114.85157,Pt General Energy Indonesia; Pt Merryline International,Celukan Bawang Power Station,Asia,Cancelled,Bali,Unit 5,https://www.gem.wiki/Celukan_Bawang_power_station
60,Indonesia,"-6.95081,106.25016",-6.95081,106.25016,Pt Cemindo Gemilang,Cemindo Gemilang Power Station,Asia,Operating,Banten,,https://www.gem.wiki/Cemindo_Gemilang_power_station
1000,Indonesia,"-7.684,109.131",-7.684,109.131,Pt Jawa Energy,Cilacap Power Station,Asia,Cancelled,Central Java,Unit 1,https://www.gem.wiki/Cilacap_power_station
