unit,plant,parent,url,sponsor,capacity_mw,status,region,country,subnational_unit,latitude,longitude,geopoint
Phase I,Adaro Aluminum Smelter Power Station,Pt Adaro Power,https://www.gem.wiki/Adaro_Aluminum_Smelter_power_station,,1100,Pre-Permit,Asia,Indonesia,North Kalimantan,2.528,117.858,"2.528, 117.858"
Unit 2,Adaro East Kalimantan Power Station,China Energy Investment Corp; Pt Adaro Power,https://www.gem.wiki/Adaro_East_Kalimantan_power_station,,300,Cancelled,Asia,Indonesia,East Kalimantan,0.1,116.4,"0.1, 116.4"
Unit 1,Amamapare Port Power Station,Pt Puncakjaya Power,https://www.gem.wiki/Amamapare_Port_power_station,,65,Operating,Asia,Indonesia,Papua,-4.82775,136.83908,"-4.82775, 136.83908"
Unit 3,Amamapare Port Power Station,Pt Puncakjaya Power,https://www.gem.wiki/Amamapare_Port_power_station,,65,Operating,Asia,Indonesia,Papua,-4.82775,136.83908,"-4.82775, 136.83908"
Unit 5,Amman Mineral Power Station,Amman Mineral Nusa Tenggara,https://www.gem.wiki/Amman_Mineral_power_station,,150,Cancelled,Asia,Indonesia,West Nusa Tenggara,-8.90121,116.7393,"-8.90121, 116.7393"
Unit 2,Amurang Power Station,Pt Pln (Persero),https://www.gem.wiki/Amurang_power_station,,30,Operating,Asia,Indonesia,North Sulawesi,1.1825,124.48056,"1.1825, 124.48056"
Unit 2,Bangka Baru Power Station,Pt Pln (Persero),https://www.gem.wiki/Bangka_Baru_power_station,,30,Operating,Asia,Indonesia,Bangka-Belitung,-2.07925,106.14962,"-2.07925, 106.14962"
Unit 1,Bangka-1 Power Station,Pt Pln (Persero),https://www.gem.wiki/Bangka-1_power_station,,200,Cancelled,Asia,Indonesia,Bangka-Belitung,-2.13333,106.11667,"-2.13333, 106.11667"
Unit 1,Banten Lontar Power Station,Pt Pln (Persero),https://www.gem.wiki/Banten_Lontar_power_station,,315,Operating,Asia,Indonesia,Banten,-6.05887,106.4643,"-6.05887, 106.4643"
"Phase I, Unit 4",Banten Suralaya Power Station,Pt Pln (Persero),https://www.gem.wiki/Banten_Suralaya_power_station,,400,Operating,Asia,Indonesia,Banten,-5.89191,106.03023,"-5.89191, 106.03023"
Unit 4,Batu Hijau Power Station,Newmont Corp,https://www.gem.wiki/Batu_Hijau_power_station,,31,Operating,Asia,Indonesia,West Nusa Tenggara,-8.90117,116.73821,"-8.90117, 116.73821"
Unit 1,Bau-Bau Power Station,To Be Determined,https://www.gem.wiki/Bau-Bau_Power_Station,,30,Cancelled,Asia,Indonesia,Southeast Sulawesi,-5.45942,122.60595,"-5.45942, 122.60595"
Unit 1,Bengkulu Power Station,Power Construction Corporation Of China Ltd [70.0%]; Pt Intraco Penta [30.0%],https://www.gem.wiki/Bengkulu_power_station,,100,Operating,Asia,Indonesia,Bengkulu,-3.91235,102.27038,"-3.91235, 102.27038"
Unit 1,Bintan Power Station,Pln Unit Induk Wilayah Riau,https://www.gem.wiki/Bintan_power_station,,100,Cancelled,Asia,Indonesia,Riau,0.89967,104.61725,"0.89967, 104.61725"
Unit 1,Btn Dumai Power Station,Btn Power,https://www.gem.wiki/BTN_Dumai_power_station,,150,Cancelled,Asia,Indonesia,Riau,1.589,101.638,"1.589, 101.638"
Unit 2,Bukit Asam Muara Enim Power Station,Pt Pln (Persero),https://www.gem.wiki/Bukit_Asam_Muara_Enim_power_station,,65,Operating,Asia,Indonesia,South Sumatra,-3.73213,103.79753,"-3.73213, 103.79753"
Unit 2,Bumi Sangatta Power Station,Pt Bumi Resources,https://www.gem.wiki/BUMI_Sangatta_power_station,,200,Shelved,Asia,Indonesia,East Kalimantan,0.605,117.481,"0.605, 117.481"
Unit 1,Celukan Bawang Power Station,Pt General Energy Indonesia; Pt Merryline International,https://www.gem.wiki/Celukan_Bawang_power_station,,142,Operating,Asia,Indonesia,Bali,-8.19629,114.85157,"-8.19629, 114.85157"
Unit 3,Celukan Bawang Power Station,Pt General Energy Indonesia; Pt Merryline International,https://www.gem.wiki/Celukan_Bawang_power_station,,142,Operating,Asia,Indonesia,Bali,-8.19629,114.85157,"-8.19629, 114.85157"
Unit 2,Central Java Power Project,J-Power Co Ltd [34.0%]; Pt Adaro Power [34.0%]; Itochu Corp [32.0%],https://www.gem.wiki/Central_Java_Power_Project,,950,Operating,Asia,Indonesia,Central Java,-6.90083,109.80369,"-6.90083, 109.80369"
