,tech_id,year,parameter,value_type,value,unit,source_pdf,source_page,source_table_title
0,TECH001,2023,capex,central,1.88,MUSD_per_MWe,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
21,TECH001,2023,capex,lower,1.14,MUSD_per_MWe,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
35,TECH001,2023,capex,upper,1.94,MUSD_per_MWe,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
253,TECH001,2023,construction_time,central,3.0,years,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
203,TECH001,2023,efficiency_annual_avg,central,34.0,pct,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
188,TECH001,2023,efficiency_nameplate,central,35.0,pct,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
49,TECH001,2023,fixed_om,central,51600.0,USD_per_MWe_yr,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
70,TECH001,2023,fixed_om,lower,38750.0,USD_per_MWe_yr,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
84,TECH001,2023,fixed_om,upper,64500.0,USD_per_MWe_yr,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
139,TECH001,2023,lifetime,central,30.0,years,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
160,TECH001,2023,lifetime,lower,25.0,years,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
174,TECH001,2023,lifetime,upper,40.0,years,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
98,TECH001,2023,variable_om,central,1.5,USD_per_MWh,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
119,TECH001,2023,variable_om,lower,1.0,USD_per_MWh,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
129,TECH001,2023,variable_om,upper,1.8,USD_per_MWh,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
1,TECH001,2030,capex,central,1.82,MUSD_per_MWe,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
254,TECH001,2030,construction_time,central,3.0,years,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
204,TECH001,2030,efficiency_annual_avg,central,35.0,pct,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
189,TECH001,2030,efficiency_nameplate,central,36.0,pct,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
50,TECH001,2030,fixed_om,central,50000.0,USD_per_MWe_yr,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
140,TECH001,2030,lifetime,central,30.0,years,Technology_Catalogue.pdf,3,Subcritical coal power plant (steam cycle)
