,namobj,wadmpr,wadmkk,almind,klskbli,klskbli_1,koordy,koordx,geometry
0,"KARYA TANAH SUBUR, PT",ACEH,ACEH BARAT,DUSUN RASA SAYANG PADANG SIKABU,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),4.33946,96.18205,POINT (96.18205 4.33946)
1,"ILHAS JASA BERSAMA, PT",ACEH,ACEH BESAR,LAMJRUEN,33111,"REPARASI PRODUK LOGAM SIAP PASANG UNTUK BANGUNAN, TANGKI, TANDON AIR DAN GENERATOR UAP",5.363291,95.584877,POINT (95.584877 5.363291)
2,"LHOKNGA BETON, PT",ACEH,ACEH BESAR,JL. BANDA ACEH MEULABOH KM 10,23957,INDUSTRI MORTAR ATAU BETON SIAP PAKAI,5.498992,95.264608,POINT (95.264608 5.498992)
3,"DELIMA MAKMUR, PT",ACEH,ACEH SINGKIL,SITUBAN MAKMUR,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),2.246916,98.030724,POINT (98.030724 2.246916)
4,"MOPOLI RAYA, PT",ACEH,ACEH TAMIANG,JL. SUKARAMAI -RANTAU GEDUNG BIARA,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),4.29073,98.15246,POINT (98.15246 4.29073)
5,"SISIRAU, PT",ACEH,ACEH TAMIANG,"JL. BANDA ACEH MEDAN, ALUR GANTUNG",10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),4.20147,98.06387,POINT (98.06387 4.20147)
6,"TRI AGRO PALMA TAMIANG, PT",ACEH,ACEH TAMIANG,DUSUN KARYA SEUMADAM,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),4.18587,98.04271,POINT (98.04271 4.18587)
7,JAYA MEDIA INTERNUSA,ACEH,ACEH TENGAH,JL. KP KUTE BARU,20294,INDUSTRI MINYAK ATSIRI,4.482648317,96.87675476,POINT (96.87675476 4.482648317)
8,"PUPUK ISKANDAR MUDA, PT",ACEH,ACEH UTARA,Jl. MEDAN - BNA PO BOX 21 KR. GEUKUEH,20122,INDUSTRI PUPUK BUATAN TUNGGAL HARA MAKRO PRIMER,5.23074,97.03347,POINT (97.03347 5.23074)
9,"AMP PLANTATION, PT",SUMATERA BARAT,AGAM,"TAPIAN KANDIS, NAGARI SALAREH AIA",10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),-0.1545742,100.0177023,POINT (100.0177023 -0.1545742)
10,CAHAYA AGAM LESTARI,SUMATERA BARAT,AGAM,JL. RAYA BUKITTINGGI MEDAN KM 5 GADUT KEC. TILATANG KAMANG,31009,INDUSTRI FURNITUR LAINNYA,-0.27848,100.36636,POINT (100.36636 -0.27848)
11,"MUTIARA AGAM, PT",SUMATERA BARAT,AGAM,"TIKU V JORONG, KEC. TANJUNG MUTIARA KABUPATEN AGAM",10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),-0.31897,99.8769,POINT (99.8769 -0.31897)
12,"ARABIKATAMA KHATULISTIWA FISHING INDUSTRY, PT",MALUKU,AMBON,"KOMP, TNI AU LANUD PATTIMURA",10213,INDUSTRI PEMBEKUAN IKAN,-3.70552,128.10166,POINT (128.10166 -3.70552)
13,"AGRINDO INDAH PERSADA, PT",SUMATERA UTARA,ASAHAN,DUSUN 6 BP MANDOGE,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),2.77055,99.39287,POINT (99.39287 2.77055)
