project_name,project_type,latitude,longitude,capacity_tons,capacity_unit,cost_usd,status,province,shareholder,is_chinese_owned,esg_ecological,esg_social,kek_id,dist_to_kek_km
Pabrik Feronikel Haltim Aneka Tambang (P3FH),Ferro Nickel,0.8423991748,128.2551442,13500.0,ton,225800000,Active,"Maluku Utara, Halmahera Timur",Mind ID:65;Publik:35,False,Air Pollution;Soil Pollution,,,
Cahaya Modern Metal Industri (CMMI),Nickel Pig Iron,-6.185276224,106.3402779,1200000.0,ton,,Active,"Banten, Serang City",Modern Cahaya Makmur:99;Siwie Honoris:1,False,Air Pollution;Soil Pollution;Noise Pollution,,bumi-serpong-damai,37.7
CBL Investment Indonesia - Ferro Nickel,Ferro Nickel,0.8448542774,128.2665241,,ton,1800000000,Planned,"Maluku Utara, Halmahera Timur",Antam:40;HKCBL:60,True,,,,
Century Metalindo,Ferro Nickel,-6.186128863,106.3148993,641026.0,ton,50000000,Active,"Banten, Serang Regency",Eddy S. Setiawan,False,Air Pollution,,bumi-serpong-damai,40.3
Gunbuster Nickel Industry (GNI),Ferro Nickel,-1.998158249,121.4355134,1800000.0,ton,3000000000,Active,"Sulawesi Tengah, Morowali Regency",Jiangsu Delong Nickel Industry Co. Ltd,True,Air Pollution,Poor Work Safety,,
Halmahera Persada Lygend - Nickel Sulfate,Nickel Sulfate,-1.539017131,127.4179665,240000.0,ton,1000000000,Active,"Maluku Utara, Halmahera Selatan",Kang Xuan Pte Ltd:18;Lygend Resources Technology Co. Ltd:36.9;PT Trimegah Bangun Persada Tbk:45.1,True,Air Pollution,"Intimidation, Suppression, Criminalization of Local Communities",,
Huadi Nickel-Alloy Indonesia,Ferro Nickel,-5.57955341,120.0659886,250000.0,ton,240000000,Active,"Sulawesi Selatan, Bantaeng Regency",Duta Nickel Sulawesi:49;Shanghai Huadi Industrial Ltd:51,True,Water Pollution;Air Pollution,Corruption & Illegal Activity,,
Indonesia Guang Ching Nickel and Stainless Steel Industry,Nickel Pig Iron,-2.828109296,122.1623878,600000.0,ton,1020000000,Active,"Sulawesi Tengah, Morowali",Guangdong J-Eray Technology Group Co. Ltd:35; Guangdong Guangxin Holdings Group Ltd:25; IMIP:25; Luck Scenery International Limited:5; Hanwa Company Limited:5,True,Water Pollution;Air Pollution;Soil Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,Poor Work Safety,,
Megah Surya Pertiwi,Ferro Nickel,-1.528289556,127.422782,240000.0,ton,320000000,Active,"Maluku Utara, Halmahera Selatan",Gane Permai Sentosa:10;Harita Jayaraya:20;Trimegah Bangun Persada:30;Xinxing Qiyun Investment Holding PLE LTD:40,True,Air Pollution,"Intimidation, Suppression, Criminalization of Local Communities",,
Ang and Fang Brother,Ferro Nickel,-2.79774,122.08533,130000.0,ton,,Active,"Sulawesi Tengah, Morowali",Daniel Lawy:16;Louise Lurance Lawy:16;Lukito Hartono Lawy:16;Lukmanto Lawy:32;Sjane Kianto:20,False,Water Pollution;Air Pollution,,,
COR Industri Indonesia,Ferro Nickel,-1.94215,121.32164,120000.0,ton,,Active,"Sulawesi Tengah, Morowali Utara",PT Central Omega Resources Tbk:60;PT Macrolink Nickel Development:40,True,Water Pollution;Air Pollution;Soil Pollution,,,
COR Industri Indonesia,Nickel Pig Iron,-1.94215,121.32164,100000.0,ton,400000000,Active,"Sulawesi Tengah, Morowali Utara",PT Central Omega Resources Tbk:60;PT Macrolink Nickel Development:40,True,Water Pollution;Air Pollution;Soil Pollution,,,
Halmahera Jaya Feronikel,Ferro Nickel,-1.559868041,127.4273084,829000.0,ton,700000000,Active,"Maluku Utara, Halmahera Selatan",Lygend Resources Technology Co. Ltd:37;PT Obira Jaya:63,True,Air Pollution,"Intimidation, Suppression, Criminalization of Local Communities",,
Indonesia Ruipu Nickel and Chrome Alloy (IRNC),Nickel Pig Iron,-2.834125603,122.1551795,700000.0,ton,850000000,Active,"Sulawesi Tengah, Morowali",Tsingshan:70; Ruipu Technology Group:20; IMIP:10,True,Water Pollution;Air Pollution;Soil Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,,,
Smelter Nikel Indonesia (SNI),MHP,-6.209867915,106.4574092,76500.0,ton,10640000000,Active,"Banten, Tangerang Regency",Putri Mentari Indonesia:35.5; Total Prima Indonesia:31; Asrinita Mahardjanti: 31; Afandi:2;5,False,,,bumi-serpong-damai,24.7
Tsingshan Steel Indonesia (TSI),Nickel Pig Iron,-2.831669352,122.1659111,2000000.0,ton,119000000,Active,"Sulawesi Tengah, Morowali",Shanghai Decent Investment Group (Tsingshan):80; IMIP: 20,True,Water Pollution;Air Pollution;Soil Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,,,
Huali Nickel Indonesia,MHP,-2.560985273,121.3810772,60000.0,ton,1936314600,Planned,"Sulawesi Tengah, Luwu Timur",Vale; Huayou; Huali,True,,,,
Weda Bay Nickel,Ferro Nickel,0.4783677751,127.9836284,30000.0,ton,,Active,"Maluku Utara, Halmahera Tengah",Eramet:38.7; Tsingshan:51.3; Indonesian government:10,True,Water Pollution;Deforestation,Land Grabbing;Lack of Fair Compensation,,
