site_id,nearest_geothermal_operating_id,nearest_geothermal_operating_km,nearest_geothermal_operating_mw,nearest_geothermal_operating_emission_factor_g_per_kwh,nearest_geothermal_pipeline_id,nearest_geothermal_pipeline_km,nearest_geothermal_pipeline_mw,nearest_geothermal_pipeline_target_year,geothermal_adjacency_tier
industropolis-batang,pltp_dieng,31.0,60.0,50.0,pipeline_dieng_2,31.0,60.0,2026,operating_within_50km
batam-tourism-and-international-healthcare,pltp_muara_laboh,426.2,85.0,50.0,pipeline_western_indonesia_aggregated,319.8,800.0,2032,none
bumi-serpong-damai,pltp_salak,46.7,377.0,50.0,pipeline_salak_expansion,46.7,40.0,2031,operating_within_50km
setangga,pltp_ulumbu,775.4,10.0,50.0,pipeline_eastern_indonesia_aggregated,553.5,200.0,2033,none
tanjung-sauh,pltp_muara_laboh,439.5,85.0,50.0,pipeline_western_indonesia_aggregated,331.6,800.0,2032,none
kek-arun-lhokseumawe,pltp_sibayak,270.6,12.0,50.0,pipeline_seulawah,159.3,55.0,2031,pipeline_within_200km_post2030
kek-sanur,pltp_ulumbu,574.2,10.0,50.0,pipeline_ulumbu_expansion,574.2,40.0,2027,none
kek-kendal,pltp_dieng,47.4,60.0,50.0,pipeline_dieng_2,47.4,60.0,2026,operating_within_50km
kek-sorong,pltp_lahendong,756.2,120.0,50.0,pipeline_lahendong_5_6,756.2,40.0,2029,none
kek-singhasari,pltp_dieng,313.7,60.0,50.0,pipeline_dieng_2,313.7,60.0,2026,none
kek-morotai,pltp_lahendong,417.5,120.0,50.0,pipeline_lahendong_5_6,417.5,40.0,2029,none
kek-gresik,pltp_dieng,297.2,60.0,50.0,pipeline_dieng_2,297.2,60.0,2026,none
kek-likupang,pltp_lahendong,59.9,120.0,50.0,pipeline_lahendong_5_6,59.9,40.0,2029,operating_within_200km
kek-bitung,pltp_lahendong,36.3,120.0,50.0,pipeline_lahendong_5_6,36.3,40.0,2029,operating_within_50km
kek-palu,pltp_lahendong,593.5,120.0,50.0,pipeline_eastern_indonesia_aggregated,235.2,200.0,2033,none
kek-kura-kura,pltp_ulumbu,577.7,10.0,50.0,pipeline_ulumbu_expansion,577.7,40.0,2027,none
kek-galang-batang,pltp_muara_laboh,473.4,85.0,50.0,pipeline_western_indonesia_aggregated,364.2,800.0,2032,none
kek-maloy-batuta,pltp_lahendong,769.2,120.0,50.0,pipeline_eastern_indonesia_aggregated,502.5,200.0,2033,none
kek-nongsa,pltp_muara_laboh,443.8,85.0,50.0,pipeline_western_indonesia_aggregated,336.9,800.0,2032,none
kek-mandalika,pltp_ulumbu,461.6,10.0,50.0,pipeline_ulumbu_expansion,461.6,40.0,2027,none
kek-batam-aero-technic,pltp_muara_laboh,442.6,85.0,50.0,pipeline_western_indonesia_aggregated,335.2,800.0,2032,none
kek-tanjung-kelayang,pltp_ulubelu,454.8,220.0,43.0,pipeline_salak_expansion,473.3,40.0,2031,none
kek-lido,pltp_salak,10.9,377.0,50.0,pipeline_salak_expansion,10.9,40.0,2031,operating_within_50km
kek-tanjung-lesung,pltp_salak,120.7,377.0,50.0,pipeline_salak_expansion,120.7,40.0,2031,operating_within_200km
kek-sei-mangkei,pltp_sibayak,95.0,12.0,50.0,pipeline_simbolon_samosir,90.3,110.0,2032,operating_within_200km
semen-gresik-tuban,pltp_dieng,223.6,60.0,50.0,pipeline_dieng_2,223.6,60.0,2026,none
indocement-citeureup,pltp_salak,33.8,377.0,50.0,pipeline_salak_expansion,33.8,40.0,2031,operating_within_50km
semen-padang-indarung,pltp_muara_laboh,100.7,85.0,50.0,pipeline_muara_laboh_2,100.7,80.0,2027,operating_within_200km
semen-tonasa,pltp_ulumbu,445.7,10.0,50.0,pipeline_eastern_indonesia_aggregated,297.3,200.0,2033,none
sbi-narogong,pltp_salak,33.8,377.0,50.0,pipeline_salak_expansion,33.8,40.0,2031,operating_within_50km
conch-cement-serang,pltp_salak,116.1,377.0,50.0,pipeline_salak_expansion,116.1,40.0,2031,operating_within_200km
conch-cement-north-sulawesi,pltp_lahendong,92.5,120.0,50.0,pipeline_kotamobagu,32.8,40.0,2032,operating_within_200km
semen-bosowa-maros,pltp_ulumbu,429.3,10.0,50.0,pipeline_eastern_indonesia_aggregated,314.7,200.0,2033,none
red-lion-hongshi-tonga,pltp_lahendong,788.4,120.0,50.0,pipeline_eastern_indonesia_aggregated,511.4,200.0,2033,none
semen-baturaja,pltp_lumut_balai,62.6,110.0,50.0,pipeline_lumut_balai_2,62.6,55.0,2027,operating_within_200km
sbi-tuban,pltp_dieng,221.6,60.0,50.0,pipeline_dieng_2,221.6,60.0,2026,none
indocement-palimanan,pltp_tampomas,37.3,45.0,50.0,pipeline_kamojang_5_6,81.2,60.0,2029,operating_within_50km
cemindo-gemilang-bayah,pltp_salak,57.9,377.0,50.0,pipeline_salak_expansion,57.9,40.0,2031,operating_within_200km
sbi-cilacap,pltp_karaha,111.4,30.0,50.0,pipeline_dieng_2,112.1,60.0,2026,operating_within_200km
semen-imasco-asiatic-jember,pltp_dieng,414.0,60.0,50.0,pipeline_dieng_2,414.0,60.0,2026,none
si-gresik-rembang,pltp_dieng,174.4,60.0,50.0,pipeline_dieng_2,174.4,60.0,2026,operating_within_200km
semeru-surya-semen-kutai,pltp_lahendong,877.7,120.0,50.0,pipeline_eastern_indonesia_aggregated,480.5,200.0,2033,none
indocement-kotabaru-tarjun,pltp_ulumbu,774.3,10.0,50.0,pipeline_eastern_indonesia_aggregated,550.2,200.0,2033,none
semen-grobogan,pltp_dieng,79.0,60.0,50.0,pipeline_dieng_2,79.0,60.0,2026,operating_within_200km
semen-garuda-bekasi,pltp_salak,62.1,377.0,50.0,pipeline_salak_expansion,62.1,40.0,2031,operating_within_200km
sbi-andalas-lhoknga,pltp_sibayak,436.1,12.0,50.0,pipeline_jaboi,40.8,5.0,2030,pipeline_within_200km_post2030
semen-jawa-scg-sukabumi,pltp_salak,32.2,377.0,50.0,pipeline_salak_expansion,32.2,40.0,2031,operating_within_50km
semen-bosowa-banyuwangi,pltp_dieng,504.7,60.0,50.0,pipeline_dieng_2,504.7,60.0,2026,none
cemindo-gemilang-ciwandan,pltp_salak,114.4,377.0,50.0,pipeline_salak_expansion,114.4,40.0,2031,operating_within_200km
conch-south-kalimantan,pltp_dieng,837.0,60.0,50.0,pipeline_eastern_indonesia_aggregated,622.0,200.0,2033,none
cemindo-gemilang-batam,pltp_muara_laboh,437.6,85.0,50.0,pipeline_western_indonesia_aggregated,329.8,800.0,2032,none
semen-bosowa-batam,pltp_muara_laboh,437.6,85.0,50.0,pipeline_western_indonesia_aggregated,329.9,800.0,2032,none
semen-jakarta,pltp_salak,111.3,377.0,50.0,pipeline_salak_expansion,111.3,40.0,2031,operating_within_200km
semen-gresik-city,pltp_dieng,301.2,60.0,50.0,pipeline_dieng_2,301.2,60.0,2026,none
solusi-bangun-cilegon,pltp_salak,114.7,377.0,50.0,pipeline_salak_expansion,114.7,40.0,2031,operating_within_200km
semen-kupang,pltp_sokoria,254.8,30.0,50.0,pipeline_atadei,181.8,10.0,2028,pipeline_within_200km_pre2030
conch-west-kalimantan,pltp_tampomas,769.5,45.0,50.0,pipeline_lumut_balai_2,786.5,55.0,2027,none
krakatau-steel-cilegon,pltp_salak,112.3,377.0,50.0,pipeline_salak_expansion,112.3,40.0,2031,operating_within_200km
krakatau-posco-cilegon,pltp_salak,114.7,377.0,50.0,pipeline_salak_expansion,114.7,40.0,2031,operating_within_200km
dexin-steel-morowali,pltp_lahendong,541.4,120.0,50.0,pipeline_eastern_indonesia_aggregated,135.5,200.0,2033,pipeline_within_200km_post2030
gunung-raja-paksi-bekasi,pltp_salak,66.0,377.0,50.0,pipeline_salak_expansion,66.0,40.0,2031,operating_within_200km
master-steel-jakarta,pltp_salak,64.7,377.0,50.0,pipeline_salak_expansion,64.7,40.0,2031,operating_within_200km
jakarta-prima-steel-industries,pltp_salak,64.8,377.0,50.0,pipeline_salak_expansion,64.8,40.0,2031,operating_within_200km
ispat-indo-sidoarjo,pltp_dieng,307.9,60.0,50.0,pipeline_dieng_2,307.9,60.0,2026,none
virtue-dragon-nickel-industrial-park-vdnip,pltp_sokoria,567.8,30.0,50.0,pipeline_lainea,25.8,20.0,2033,pipeline_within_200km_post2030
bantaeng-industrial-park-bip,pltp_ulumbu,351.0,10.0,50.0,pipeline_lainea,332.4,20.0,2033,none
obi-island-industrial-park,pltp_lahendong,423.5,120.0,50.0,pipeline_lahendong_5_6,423.5,40.0,2029,none
indonesia-pomalaa-industry-park-ipip,pltp_mataloko,516.3,2.5,50.0,pipeline_lainea,113.8,20.0,2033,pipeline_within_200km_post2030
nusantara-industri-sejati,pltp_sokoria,565.6,30.0,50.0,pipeline_lainea,30.9,20.0,2033,pipeline_within_200km_post2030
indonesia-morowali-industrial-park-imip,pltp_lahendong,542.2,120.0,50.0,pipeline_eastern_indonesia_aggregated,134.6,200.0,2033,pipeline_within_200km_post2030
stardust-estate-invesment-sei,pltp_lahendong,503.8,120.0,50.0,pipeline_eastern_indonesia_aggregated,92.5,200.0,2033,pipeline_within_200km_post2030
industrial-weda-bay-industrial-park-iwip,pltp_lahendong,362.0,120.0,50.0,pipeline_lahendong_5_6,362.0,40.0,2029,none
buli-industrial-park,pltp_lahendong,383.0,120.0,50.0,pipeline_lahendong_5_6,383.0,40.0,2029,none
indonesia-konawe-industrial-park-ikip,pltp_lahendong,580.0,120.0,50.0,pipeline_eastern_indonesia_aggregated,108.9,200.0,2033,pipeline_within_200km_post2030
inalum-asahan,pltp_sibayak,107.3,12.0,50.0,pipeline_simbolon_samosir,116.6,110.0,2032,operating_within_200km
freeport-smelter-gresik,pltp_dieng,299.4,60.0,50.0,pipeline_dieng_2,299.4,60.0,2026,none
pupuk-kaltim-bontang,pltp_lahendong,825.1,120.0,50.0,pipeline_eastern_indonesia_aggregated,486.1,200.0,2033,none
pupuk-sriwidjaja-palembang,pltp_lumut_balai,194.7,110.0,50.0,pipeline_lumut_balai_2,194.7,55.0,2027,operating_within_200km
petrokimia-gresik,pltp_dieng,301.8,60.0,50.0,pipeline_dieng_2,301.8,60.0,2026,none
pupuk-kujang-cikampek,pltp_tampomas,79.7,45.0,50.0,pipeline_patuha_2,84.0,55.0,2028,operating_within_200km
pupuk-iskandar-muda-lhokseumawe,pltp_sibayak,273.6,12.0,50.0,pipeline_seulawah,156.3,55.0,2031,pipeline_within_200km_post2030
