site_id,nearest_hydro_operating_id,nearest_hydro_operating_km,nearest_hydro_operating_mw,nearest_hydro_pipeline_id,nearest_hydro_pipeline_km,nearest_hydro_pipeline_mw,nearest_hydro_pipeline_target_year,hydro_adjacency_tier
industropolis-batang,plta_mrica,68.7,184.0,rptl_malea,1187.4,90.0,2027,operating_within_200km
batam-tourism-and-international-healthcare,plta_singkarak,422.8,175.0,rptl_batang_toru,542.8,510.0,2026,none
bumi-serpong-damai,plta_jatiluhur,84.1,187.0,rptl_batang_toru,1220.6,510.0,2026,operating_within_200km
setangga,plta_bakaru,392.9,126.0,rptl_malea,427.7,90.0,2027,none
tanjung-sauh,plta_singkarak,442.9,175.0,rptl_batang_toru,571.4,510.0,2026,none
kek-arun-lhokseumawe,plta_tangga,366.2,317.0,rptl_peusangan,69.4,88.0,2026,pipeline_within_200km_pre2030
kek-sanur,plta_sutami,314.5,105.0,rptl_malea,818.8,90.0,2027,none
kek-kendal,plta_mrica,91.2,184.0,rptl_malea,1158.2,90.0,2027,operating_within_200km
kek-sorong,plta_tonsea_tanggari,748.3,36.0,rptl_mamberamo,768.5,1380.0,2034,none
kek-singhasari,plta_sutami,81.4,105.0,rptl_malea,941.5,90.0,2027,operating_within_200km
kek-morotai,plta_tonsea_tanggari,398.6,36.0,rptl_poso_iii,952.9,240.0,2028,none
kek-gresik,plta_sutami,123.7,105.0,rptl_malea,930.1,90.0,2027,operating_within_200km
kek-likupang,plta_tonsea_tanggari,37.7,36.0,rptl_poso_iii,598.8,240.0,2028,operating_within_50km
kek-bitung,plta_tonsea_tanggari,16.1,36.0,rptl_poso_iii,578.9,240.0,2028,operating_within_50km
kek-palu,plta_poso,116.4,515.0,rptl_poso_iii,112.7,240.0,2028,operating_within_200km
kek-kura-kura,plta_sutami,311.8,105.0,rptl_malea,824.2,90.0,2027,none
kek-galang-batang,plta_singkarak,487.3,175.0,rptl_batang_toru,626.9,510.0,2026,none
kek-maloy-batuta,plta_poso,391.0,515.0,rptl_kayan_1,319.1,900.0,2029,none
kek-nongsa,plta_singkarak,442.1,175.0,rptl_batang_toru,560.8,510.0,2026,none
kek-mandalika,plta_sutami,429.6,105.0,rptl_malea,771.6,90.0,2027,none
kek-batam-aero-technic,plta_singkarak,442.7,175.0,rptl_batang_toru,564.9,510.0,2026,none
kek-tanjung-kelayang,plta_jatiluhur,441.2,187.0,rptl_kayan_2,1046.2,1900.0,2032,none
kek-lido,plta_cirata,56.7,1008.0,rptl_batang_toru,1268.3,510.0,2026,operating_within_200km
kek-tanjung-lesung,plta_cirata,186.1,1008.0,rptl_batang_toru,1161.3,510.0,2026,operating_within_200km
kek-sei-mangkei,plta_tangga,62.6,317.0,rptl_asahan_iv,52.5,174.0,2027,operating_within_200km
