kek_id,kek_name,province,grid_region_id,kek_type,status,latitude,longitude,pvout_centroid,cf_centroid,pvout_best_50km,cf_best_50km,pvout_buildable_best_50km,buildable_area_ha,max_captive_capacity_mwp,buildability_constraint,resource_quality,dist_to_nearest_substation_km,nearest_substation_capacity_mva,siting_scenario,grid_integration_category,same_grid_region,line_connected,inter_substation_connected,inter_substation_dist_km,available_capacity_mva,capacity_assessment,within_boundary_coverage_pct,firm_solar_coverage_pct,nighttime_demand_mwh,storage_required_mwh,storage_gap_pct,project_viable,demand_mwh_2030,lcoe_low_usd_mwh,lcoe_mid_usd_mwh,lcoe_high_usd_mwh,lcoe_grid_connected_usd_mwh,lcoe_grid_connected_low_usd_mwh,lcoe_grid_connected_high_usd_mwh,connection_cost_per_kw,transmission_cost_per_kw,substation_upgrade_cost_per_kw,grid_investment_needed_usd,cf_used,is_cf_provisional,is_capex_provisional,lcoe_wind_mid_usd_mwh,lcoe_wind_allin_mid_usd_mwh,cf_wind,wind_speed_ms,best_re_technology,best_re_lcoe_mid_usd_mwh,re_competitive_gap_pct,dashboard_rate_usd_mwh,dashboard_rate_label,is_grid_cost_provisional,tariff_i3_usd_mwh,tariff_i4_usd_mwh,solar_competitive_gap_pct,solar_attractive,lcoe_mid_wacc8_usd_mwh,solar_competitive_gap_wacc8_pct,solar_now_at_wacc8,action_flag,solar_now,invest_transmission,invest_substation,invest_battery,grid_first,invest_resilience,plan_late,green_share_geas,pre2030_solar_mw,post2030_share,grid_upgrade_pre2030,ruptl_summary,grid_emission_factor_t_co2_mwh,carbon_breakeven_usd_tco2,clean_power_advantage,data_completeness
industropolis-batang,Industropolis Batang,Central Java,JAVA_BALI,Industri dan Pariwisata,Active,-6.930301,109.9617023,1541.8,0.176,1583.7,0.1808,1559.3,2050.3,1366.9,land_cover,filtered,13.11,12.0,remote_captive,within_boundary,True,True,True,21.65,4.2,red,1.379073983166062,2.445,1239429.5,1424631.6,0.583,True,2124736.32,63.46,72.63,110.73,81.38,72.36,118.88,98.0,0.0,,133956200.0,0.1751,False,False,499.14,94.7,0.05,3.01,solar,72.63,15.1,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,15.1,False,62.11,-1.5,True,invest_resilience,False,False,False,False,False,True,False,0.48009979105611084,1610,0.37207488299531977,True,1610 MW solar planned in JAVA_BALI by 2030,0.8,11.9,-15.1,complete
batam-tourism-and-international-healthcare,Batam Tourism and International Healthcare,Riau Islands,SUMATERA,Jasa lainnya,Active,1.1377283591127,103.92457856774,1325.0,0.1513,1360.7,0.1553,1342.8,1462.7,975.1,land_cover,filtered,5.85,30.0,remote_captive,invest_substation,True,False,True,25.68,10.5,red,0.0,84.385,22012.7,25301.9,0.583,True,37736.0,73.47,84.1,128.22,100.3,89.82,143.84,169.8,0.0,,165571980.0,0.1513,True,False,274.56,162.9,0.0909,4.16,solar,84.1,33.3,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,33.3,False,71.92,14.0,False,not_competitive,False,False,False,False,False,False,False,0.2192503980729962,660,0.589041095890411,True,660 MW solar planned in SUMATERA by 2030,0.77,27.3,-33.3,complete
bumi-serpong-damai,"Banten International Education, Technology, and Health",Banten,JAVA_BALI,Jasa lainnya,Active,-6.308799293523,106.65753024663,1325.0,0.1513,1472.8,0.1681,1457.4,3164.8,2109.9,kawasan_hutan,filtered,0.41,,remote_captive,invest_substation,True,False,True,44.67,,unknown,0.0,156.206,27850.7,32012.3,0.583,True,47744.0,73.47,84.1,128.22,88.62,78.96,128.73,118.8,0.0,,250656120.0,0.1513,True,False,499.14,138.72,0.05,3.07,solar,84.1,33.3,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,33.3,False,71.92,14.0,False,not_competitive,False,False,False,False,False,False,False,0.4800997910561108,1610,0.37207488299531977,True,1610 MW solar planned in JAVA_BALI by 2030,0.8,26.3,-33.3,complete
setangga,Setangga,South Kalimantan,KALIMANTAN,,Active,-3.2813775344249,116.07748257442,1337.7,0.1527,1419.5,0.162,1389.9,6615.5,4410.3,land_cover,filtered,10.99,2.5,remote_captive,grid_first,True,False,True,,0.9,red,0.20307596001642722,39.938,219452.6,252244.4,0.583,True,376204.5,73.02,83.57,127.42,96.64,86.52,138.7,166.5,0.0,,734314950.0,0.1522,False,False,499.14,142.93,0.05,3.2,solar,83.57,32.5,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,32.5,False,71.47,13.3,False,not_competitive,False,False,False,False,False,False,False,0.7699816503995907,327,0.2997858672376874,True,327 MW solar planned in KALIMANTAN by 2030,1.16,17.7,-32.5,complete
tanjung-sauh,Tanjung Sauh,Riau Islands,SUMATERA,,Active,1.0429294494269,104.17274106649,1311.8,0.1498,1383.0,0.1579,1351.6,10583.2,7055.5,land_cover,filtered,4.92,60.0,remote_captive,invest_substation,True,False,True,44.5,21.0,red,0.1995728121274466,62.25,219452.6,252244.4,0.583,True,376204.5,74.3,85.04,129.65,104.84,94.42,148.09,234.6,0.0,,1655220300.0,0.1496,False,False,238.6,124.78,0.1046,4.35,solar,85.04,34.8,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,34.8,False,72.72,15.3,False,not_competitive,False,False,False,False,False,False,False,0.21925039807299618,660,0.589041095890411,True,660 MW solar planned in SUMATERA by 2030,0.77,28.5,-34.8,complete
kek-arun-lhokseumawe,Arun Lhokseumawe,Aceh,SUMATERA,Industri,Active,5.2199197298726,97.080259039528,1414.7,0.1615,1452.0,0.1657,,0.0,0.0,kawasan_hutan,provisional (no buildability filter),1.12,60.0,within_boundary,within_boundary,False,False,,,21.0,unknown,0.0,,,,,False,1730836.8,68.82,78.76,120.09,86.48,76.79,126.74,85.6,0.0,,,0.1615,True,False,499.14,110.03,0.05,3.57,solar,78.76,24.9,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,24.9,False,67.36,6.8,False,no_solar_resource,False,False,False,False,False,False,False,0.21925039807299618,660,0.589041095890411,True,660 MW solar planned in SUMATERA by 2030,0.77,20.4,-24.9,complete
kek-sanur,Sanur,Bali,JAVA_BALI,Pariwisata,Active,-8.6942352931407,115.26295962249,1672.4,0.1909,1712.9,0.1955,1618.4,1020.8,680.5,kawasan_hutan,filtered,2.42,210.0,remote_captive,invest_substation,True,False,True,44.6,73.5,red,0.0,134.528,12130.4,13943.0,0.583,True,20795.0211446544,58.21,66.63,101.58,88.42,79.72,124.54,247.5,0.0,,168423750.0,0.1909,True,False,499.14,97.58,0.05,3.36,solar,66.63,5.6,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,5.6,False,56.98,-9.7,True,not_competitive,False,False,False,False,False,False,False,0.4800997910561108,1610,0.37207488299531977,True,1610 MW solar planned in JAVA_BALI by 2030,0.8,4.4,-5.6,complete
kek-kendal,Kendal,Central Java,JAVA_BALI,Industri,Active,-6.9355648813555,110.24833446931,1562.6,0.1784,1583.7,0.1808,1581.9,2562.8,1708.5,land_cover,filtered,3.1,12.0,remote_captive,within_boundary,True,False,True,,4.2,red,1.4827166666666667,9.839,385000.0,442528.7,0.583,True,660000.0,62.33,71.34,108.76,82.54,73.64,119.49,131.8,0.0,,225180300.0,0.1783,False,False,499.14,96.18,0.05,3.49,solar,71.34,13.1,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,13.1,False,61.01,-3.3,True,invest_resilience,False,False,False,False,False,True,False,0.4800997910561108,1610,0.37207488299531977,True,1610 MW solar planned in JAVA_BALI by 2030,0.8,10.3,-13.1,complete
kek-sorong,Sorong,West Papua,PAPUA,Industri,Active,-1.0292733746334,131.24345068184,1403.1,0.1602,1531.9,0.1749,,0.0,0.0,kawasan_hutan,provisional (no buildability filter),1.07,,remote_captive,invest_substation,False,False,,,,unknown,0.0,,,,,False,345642.00000000006,69.38,79.42,121.08,81.95,72.76,120.11,85.3,0.0,,,0.1602,True,False,499.14,112.91,0.05,3.38,solar,79.42,25.9,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,25.9,False,67.91,7.7,False,no_solar_resource,False,False,False,False,False,False,False,0.0,0,0.0,False,0 MW solar planned in PAPUA by 2030,0.56,29.2,-25.9,complete
kek-singhasari,Singhasari,East Java,JAVA_BALI,Pariwisata,Active,-7.5151962757576,112.7434025685,1624.2,0.1854,1694.0,0.1934,1694.0,11432.5,7621.7,land_cover,filtered,5.14,40.0,remote_captive,within_boundary,True,False,True,38.48,14.0,red,2.0128303579675153,511.07,35368.2,40653.1,0.583,True,60631.2,64.46,73.77,112.48,74.88,66.57,109.39,97.4,0.0,,742353580.0,0.1724,False,False,499.14,127.47,0.05,3.16,solar,73.77,16.9,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,16.9,False,63.09,0.0,False,not_competitive,False,False,False,False,False,False,False,0.4800997910561108,1610,0.37207488299531977,True,1610 MW solar planned in JAVA_BALI by 2030,0.8,13.4,-16.9,complete
