site_id,captive_perpres_112_exempt,captive_perpres_112_exemption_basis,captive_phaseout_year_baseline,captive_phaseout_year_strict_scenario,captive_subject_to_strict_scenario,captive_perpres_112_source,captive_perpres_112_verification_status
industropolis-batang,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
batam-tourism-and-international-healthcare,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
bumi-serpong-damai,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
setangga,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
tanjung-sauh,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-arun-lhokseumawe,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-sanur,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-kendal,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-sorong,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-singhasari,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-morotai,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-gresik,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-likupang,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-bitung,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-palu,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-kura-kura,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-galang-batang,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-maloy-batuta,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-nongsa,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-mandalika,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-batam-aero-technic,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-tanjung-kelayang,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-lido,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-tanjung-lesung,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
kek-sei-mangkei,False,unclear,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
semen-gresik-tuban,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
indocement-citeureup,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
semen-padang-indarung,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
semen-tonasa,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
sbi-narogong,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
conch-cement-serang,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
conch-cement-north-sulawesi,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
semen-bosowa-maros,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
red-lion-hongshi-tonga,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
semen-baturaja,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
sbi-tuban,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
indocement-palimanan,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
cemindo-gemilang-bayah,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
sbi-cilacap,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
semen-imasco-asiatic-jember,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
si-gresik-rembang,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
semeru-surya-semen-kutai,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
indocement-kotabaru-tarjun,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
semen-grobogan,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
semen-garuda-bekasi,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
sbi-andalas-lhoknga,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
semen-jawa-scg-sukabumi,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
semen-bosowa-banyuwangi,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
cemindo-gemilang-ciwandan,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
conch-south-kalimantan,False,not_exempt,2050,2035,False,Perpres 112/2022 Art. 10 (sector default),sector_default
