site_id,site_name,rooftop_kw_dc,rooftop_kw_ac,rooftop_solar_mwp_potential,total_building_footprint_m2,usable_roof_area_m2,type_filter_excluded_m2,building_count_total,building_count_standard_roof,building_count_elongated,building_count_tank_silo,building_count_conveyor,building_count_residential,building_count_isolated_cluster,building_count_other_excluded,building_data_confidence,building_data_reason_flagged,building_data_source,building_data_vintage,polygon_source_tier
industropolis-batang,Industropolis Batang,2719.71,2393.35,2.7197,73153.97,27197.12,40804.44,325,47,1,0,0,160,25.0,117,low,polygon_imagery_gap,gob_v3,2026-02-23,official_kek
batam-tourism-and-international-healthcare,Batam Tourism and International Healthcare,2636.1,2319.77,2.6361,32987.42,26361.02,5496.21,68,25,0,0,0,23,0.0,20,high,,gob_v3,2026-02-23,official_kek
bumi-serpong-damai,"Banten International Education, Technology, and Health",880.78,775.09,0.8808,10855.52,8807.79,2047.73,20,4,0,0,0,2,2.0,14,medium,,gob_v3,2023-05,official_kek
setangga,Setangga,0.0,0.0,0.0,5305.69,0.0,5305.69,61,4,0,0,0,0,4.0,57,medium,,gob_v3,2026-02-23,official_kek
tanjung-sauh,Tanjung Sauh,0.0,0.0,0.0,810.77,0.0,810.77,6,1,0,0,0,0,1.0,5,medium,,gob_v3,2023-05,official_kek
kek-arun-lhokseumawe,Arun Lhokseumawe,42403.88,37315.41,42.4039,964190.62,424038.8,505095.32,3695,893,20,17,0,1978,343.0,787,medium,,gob_v3,2026-02-23,official_kek
kek-sanur,Sanur,2659.1,2340.01,2.6591,46757.58,26590.97,19755.66,133,29,3,0,0,70,12.0,31,high,,gob_v3,2026-02-23,official_kek
kek-kendal,Kendal,13432.38,11820.49,13.4324,192649.79,134323.76,17816.7,280,45,4,0,0,71,5.0,160,medium,,gob_v3,2023-05,official_kek
kek-sorong,Sorong,0.0,0.0,0.0,5312.41,0.0,5312.41,54,6,0,0,0,3,7.0,45,low,polygon_imagery_gap,gob_v3,2026-02-23,official_kek
kek-singhasari,Singhasari,0.0,0.0,0.0,7709.72,0.0,7709.72,27,8,0,0,0,7,11.0,12,medium,,gob_v3,2026-02-23,official_kek
kek-morotai,Morotai,0.0,0.0,0.0,1734.54,0.0,1734.54,35,0,0,0,0,0,0.0,35,low,polygon_imagery_gap,gob_v3,2026-02-23,official_kek
kek-gresik,Gresik,16041.58,14116.59,16.0416,200780.64,160415.76,35305.16,411,56,2,2,0,232,8.0,119,low,polygon_imagery_gap,gob_v3,2023-05,official_kek
kek-likupang,Likupang,0.0,0.0,0.0,2133.33,0.0,2133.33,27,1,0,0,0,13,2.0,13,medium,,gob_v3,2023-05,official_kek
kek-bitung,Bitung,13903.19,12234.8,13.9032,391195.14,139031.87,245384.05,2239,197,11,0,0,1761,129.0,270,high,,gob_v3,2023-05,official_kek
kek-palu,Palu,4237.95,3729.4,4.238,126181.36,42379.52,80427.05,753,57,2,0,0,507,49.0,187,low,polygon_imagery_gap,gob_v3,2023-05,official_kek
kek-kura-kura,Kura Kura Bali,0.0,0.0,0.0,5137.54,0.0,5137.54,49,6,0,1,0,3,6.0,39,medium,,gob_v3,2026-02-23,official_kek
kek-galang-batang,Galang Batang,6749.44,5939.51,6.7494,175841.46,67494.39,97231.18,663,123,26,0,0,161,103.0,353,low,polygon_imagery_gap,gob_v3,2026-02-23,official_kek
kek-maloy-batuta,Maloy Batuta Trans Kalimantan,0.0,0.0,0.0,5448.45,0.0,5448.45,44,2,0,0,0,5,7.0,37,low,polygon_imagery_gap,gob_v3,2026-02-23,official_kek
kek-nongsa,Nongsa,4009.96,3528.76,4.01,92521.15,40099.58,50597.22,370,49,1,0,0,291,16.0,29,high,,gob_v3,2026-02-23,official_kek
kek-mandalika,Mandalika,2686.49,2364.11,2.6865,180388.88,26864.93,144325.45,1527,89,5,2,0,1020,71.0,411,medium,,gob_v3,2026-02-23,official_kek
kek-batam-aero-technic,Batam Aero Technic,5096.5,4484.92,5.0965,60810.51,50964.98,1152.57,23,11,0,0,0,0,0.0,12,high,,gob_v3,2023-05,official_kek
kek-tanjung-kelayang,Tanjung Kelayang,0.0,0.0,0.0,25412.46,0.0,25412.46,115,32,1,0,0,52,35.0,30,medium,,gob_v3,2023-05,official_kek
kek-lido,Lido,1242.03,1092.98,1.242,265033.46,12420.25,251819.18,1843,154,7,0,0,1539,168.0,143,medium,,gob_v3,2026-02-23,official_kek
kek-tanjung-lesung,Tanjung Lesung,0.0,0.0,0.0,105926.07,0.0,105926.07,1002,41,2,0,0,736,55.0,223,low,polygon_imagery_gap,gob_v3,2026-02-23,official_kek
kek-sei-mangkei,Sei Mangkei,6536.03,5751.71,6.536,249891.09,65360.34,168912.0,1134,102,4,15,0,864,59.0,149,medium,,gob_v3,2023-05,official_kek
semen-gresik-tuban,Semen Gresik Tuban,14319.03,12600.75,14.319,172649.76,143190.29,3361.46,81,35,4,0,0,11,0.0,31,medium,,gob_v3,2023-05,claude_building_hull_estimate
indocement-citeureup,Indocement Citeureup,63455.06,55840.45,63.4551,751869.9,634550.57,72274.62,982,238,22,1,2,595,0.0,124,medium,,gob_v3,2023-05,claude_building_hull_estimate
semen-padang-indarung,Semen Padang Indarung,22335.48,19655.22,22.3355,350454.3,223354.78,101783.26,1147,155,23,1,6,888,2.0,74,medium,,gob_v3,2023-05,osm_landuse_industrial
semen-tonasa,Semen Tonasa,20953.77,18439.32,20.9538,234403.8,209537.67,15882.91,243,67,8,0,1,125,0.0,42,medium,,gob_v3,2023-05,claude_building_hull_estimate
sbi-narogong,SBI Narogong,8474.52,7457.58,8.4745,591847.59,84745.21,500676.75,5194,180,8,0,0,4746,98.0,260,medium,,gob_v3,2023-05,none
conch-cement-serang,Conch Cement Serang,4166.19,3666.25,4.1662,49005.91,41661.95,4028.62,53,14,1,0,0,20,0.0,18,medium,,gob_v3,2026-02-23,claude_building_hull_estimate
conch-cement-north-sulawesi,Conch Cement North Sulawesi,6903.41,6075.01,6.9034,130152.1,69034.15,34247.99,377,65,21,0,15,152,25.0,124,medium,,gob_v3,2023-05,none
