site_id,site_name,latitude,longitude,wind_speed_centroid_ms,wind_speed_best_50km_ms,cf_wind_centroid,cf_wind_best_50km,wind_class,wind_source,wind_buildable_area_ha,max_wind_capacity_mwp,wind_buildability_constraint,wind_speed_buildable_best_ms,cf_wind_buildable_best,best_wind_site_lat,best_wind_site_lon,best_wind_site_dist_km
industropolis-batang,Industropolis Batang,-6.930301,109.9617023,3.01,7.74,0.05,0.2822,II,GlobalWindAtlas-v3,80477.4,3219.1,unconstrained,4.25,0.0973,-7.29368,110.18009,47.05
batam-tourism-and-international-healthcare,Batam Tourism and International Healthcare,1.1377283591127,103.92457856774,4.16,5.28,0.0909,0.1695,III,GlobalWindAtlas-v3,1634.8,65.4,unconstrained,4.22,0.0951,1.02436,104.23785,37.04
bumi-serpong-damai,"Banten International Education, Technology, and Health",-6.308799293523,106.65753024663,3.07,5.64,0.05,0.1945,III,GlobalWindAtlas-v3,12488.9,499.6,unconstrained,4.09,0.0862,-6.08882,106.75148,26.57
setangga,Setangga,-3.2813775344249,116.07748257442,3.2,5.61,0.05,0.1929,III,GlobalWindAtlas-v3,8248.3,329.9,unconstrained,3.64,0.0513,-3.61142,115.89843,41.73
tanjung-sauh,Tanjung Sauh,1.0429294494269,104.17274106649,4.35,6.23,0.1046,0.2277,III,GlobalWindAtlas-v3,10669.8,426.8,unconstrained,4.37,0.1061,1.22124,104.56103,47.5
kek-arun-lhokseumawe,Arun Lhokseumawe,5.2199197298726,97.080259039528,3.57,6.65,0.05,0.2415,III,GlobalWindAtlas-v3,66678.0,2667.1,unconstrained,3.3,0.05,5.65657,97.00007,49.36
kek-sanur,Sanur,-8.6942352931407,115.26295962249,3.36,7.96,0.05,0.2928,II,GlobalWindAtlas-v3,7656.5,306.3,unconstrained,5.12,0.1587,-9.14095,115.27109,49.68
kek-kendal,Kendal,-6.9355648813555,110.24833446931,3.49,7.74,0.05,0.2822,II,GlobalWindAtlas-v3,124559.2,4982.4,unconstrained,4.6,0.1217,-6.50724,110.36671,49.39
kek-sorong,Sorong,-1.0292733746334,131.24345068184,3.38,6.46,0.05,0.2353,III,GlobalWindAtlas-v3,0.0,0.0,unconstrained,,,,,
kek-singhasari,Singhasari,-7.5151962757576,112.7434025685,3.16,5.85,0.05,0.2096,III,GlobalWindAtlas-v3,133699.6,5348.0,unconstrained,4.45,0.1114,-7.21188,113.07787,49.98
kek-morotai,Morotai,2.3750901219475,128.41811690865,3.04,6.06,0.05,0.2218,III,GlobalWindAtlas-v3,1719.7,68.8,unconstrained,4.13,0.0889,2.70341,128.11441,49.71
kek-gresik,Gresik,-7.0854668845705,112.60680989557,4.03,5.0,0.0821,0.1498,III,GlobalWindAtlas-v3,238448.1,9537.9,unconstrained,4.57,0.12,-6.90715,112.1917,49.92
kek-likupang,Likupang,1.680721711081,125.15739596932,4.1,9.92,0.0868,0.3769,I,GlobalWindAtlas-v3,15570.4,622.8,unconstrained,5.79,0.2055,1.7757,125.51223,40.83
kek-bitung,Bitung,1.4243289186209,125.10987982233,3.0,9.92,0.05,0.3769,I,GlobalWindAtlas-v3,11614.7,464.6,unconstrained,5.58,0.1909,1.5193,125.23976,17.89
kek-palu,Palu,-0.71188721731303,119.8703393558,2.66,6.17,0.0,0.2258,III,GlobalWindAtlas-v3,15661.9,626.5,unconstrained,4.47,0.1126,-0.87526,119.90032,18.47
kek-kura-kura,Kura Kura Bali,-8.7312613066451,115.23086607725,3.73,7.96,0.0582,0.2928,II,GlobalWindAtlas-v3,18458.9,738.4,unconstrained,5.19,0.1635,-9.17797,115.24729,49.7
kek-galang-batang,Galang Batang,0.91112087616108,104.65970479459,4.37,6.23,0.1056,0.2277,III,GlobalWindAtlas-v3,16521.7,660.9,unconstrained,4.56,0.119,0.75609,105.08134,49.95
kek-maloy-batuta,Maloy Batuta Trans Kalimantan,0.81659915671314,117.93022440699,3.32,5.73,0.05,0.2013,III,GlobalWindAtlas-v3,41305.2,1652.2,unconstrained,4.09,0.0865,1.19492,117.97686,42.39
kek-nongsa,Nongsa,1.191175886339,104.09214803974,4.15,6.23,0.0908,0.2277,III,GlobalWindAtlas-v3,3011.5,120.5,unconstrained,4.22,0.0951,1.01947,104.23041,24.51
kek-mandalika,Mandalika,-8.8963124944653,116.29090641579,4.27,8.88,0.0987,0.3352,I,GlobalWindAtlas-v3,59178.1,2367.1,unconstrained,5.69,0.1982,-9.33469,116.37379,49.59
kek-batam-aero-technic,Batam Aero Technic,1.1393365211312,104.12432224421,4.24,6.23,0.097,0.2277,III,GlobalWindAtlas-v3,4646.4,185.9,unconstrained,4.37,0.1061,1.22598,104.56259,49.67
kek-tanjung-kelayang,Tanjung Kelayang,-2.5711927695212,107.65499155301,4.06,6.02,0.0842,0.2206,III,GlobalWindAtlas-v3,85028.9,3401.2,unconstrained,4.64,0.1245,-2.20121,107.90956,49.92
kek-lido,Lido,-6.7536528309529,106.81210085326,3.74,7.33,0.0594,0.2643,III,GlobalWindAtlas-v3,10426.6,417.1,unconstrained,4.51,0.1156,-7.05036,106.82231,33.01
kek-tanjung-lesung,Tanjung Lesung,-6.4817887185833,105.65248380886,5.2,10.35,0.1643,0.3869,I,GlobalWindAtlas-v3,0.0,0.0,unconstrained,,,,,
kek-sei-mangkei,Sei Mangkei,3.1324879221829,99.340577853012,2.65,4.73,0.0,0.1308,III,GlobalWindAtlas-v3,85.9,3.4,unconstrained,3.75,0.0596,3.40247,99.36992,30.2
semen-gresik-tuban,Semen Gresik Tuban,-6.87,112.04,4.52,5.61,0.1163,0.1927,III,GlobalWindAtlas-v3,301529.7,12061.2,unconstrained,5.03,0.1524,-6.46668,111.8501,49.51
indocement-citeureup,Indocement Citeureup,-6.479811,106.899118,3.16,5.64,0.05,0.1945,III,GlobalWindAtlas-v3,49083.6,1963.3,unconstrained,4.09,0.0862,-6.08482,106.75125,46.86
semen-padang-indarung,Semen Padang Indarung,-0.947827,100.469967,1.45,9.68,0.0,0.3671,I,GlobalWindAtlas-v3,80800.5,3232.0,unconstrained,6.19,0.2262,-0.55284,100.45826,43.94
