site_id,site_name,nearest_substation_name,nearest_substation_voltage_kv,nearest_substation_capacity_mva,nearest_substation_capacity_source,nearest_substation_regpln,dist_to_nearest_substation_km,has_internal_substation,siting_scenario,dist_solar_to_nearest_substation_km,nearest_substation_to_solar_name,nearest_substation_to_solar_regpln,grid_integration_category,same_grid_region,line_connected,inter_substation_connected,inter_substation_dist_km,available_capacity_mva,capacity_assessment,substation_utilization_pct_effective,ruptl_project_type,ruptl_strongest_status,ruptl_earliest_target_year,ruptl_mva_added_total,ruptl_match_confidence,solar_search_method,chosen_anchor_substation_name,solar_supply_share_pct,solar_delivered_share_pct,project_scale_solar_mwp
industropolis-batang,Industropolis Batang,GI 150 kV Weleri,150 kV,12.0,actual,Jawa-Bali,13.11,False,remote_captive,3.5,GI 150 kV Kaliwungu - Randugarut 2,Jawa-Bali,grid_first,True,True,True,21.65,1.8,red,0.85,uprate,rencana,2025.0,0.0,high,best_pvout_fallback,,0.372,0.3764,413.44
batam-tourism-and-international-healthcare,Batam Tourism and International Healthcare,GI 150 kV Tg. Uncang,150 kV,30.0,actual,Sumatera,5.85,False,remote_captive,1.17,GI 150 kV Sagulung,Sumatera,grid_ready,True,True,True,4.86,10.5,green,0.65,,,,,,substation_anchored,GI 150 kV Tg. Uncang,1.0,1.0,8.54
bumi-serpong-damai,"Banten International Education, Technology, and Health",GI 150 kV Lengkong,150 kV,60.0,proxy_150kV,Jawa-Bali,0.41,False,remote_captive,1.65,GI 150 kV Legok,Jawa-Bali,grid_ready,True,True,True,6.63,18.0,green,0.7,,,,,,substation_anchored,GI 150 kV Lengkong,1.0,1.0,10.81
setangga,Setangga,GI 150 kV Pulau Laut  2,150 kV,2.5,actual,Kalimantan,10.99,False,remote_captive,3.01,GI 150 kV Batulicin 1,Kalimantan,grid_first,True,True,True,29.84,0.9,red,0.65,,,,,,substation_anchored,GI 150 kV Batulicin,1.0,1.0,84.37
tanjung-sauh,Tanjung Sauh,GI 150 kV Tg. Kasam,150 kV,60.0,actual,Sumatera,4.92,False,remote_captive,4.34,GI 150 kV Batu Besar,Sumatera,invest_substation,True,True,True,6.68,21.0,red,0.65,,,,,,substation_anchored,GI 150 kV Tg. Kasam,1.0,1.0,86.01
kek-arun-lhokseumawe,Arun Lhokseumawe,GI 150 kV Arun,150 kV,60.0,actual,Sumatera,1.12,True,within_boundary,9.22,GI 150 kV Lhokseumawe,Sumatera,within_boundary,True,True,True,15.26,15.0,red,0.75,extension,pengadaan,2026.0,250.0,high,best_pvout_fallback,,1.0,1.0,367.03
kek-sanur,Sanur,GI 150 kV Sanur,150 kV,210.0,actual,Jawa-Bali,2.42,False,remote_captive,3.19,GIS 150 kV Pesanggaran,Jawa-Bali,grid_ready,True,True,True,6.67,52.5,green,0.75,extension,rencana,2027.0,0.0,high,substation_anchored,GI 150 kV Sanur,1.0,1.0,3.73
kek-kendal,Kendal,GI 150 kV Kaliwungu - Randugarut 2,150 KV,12.0,actual,Jawa-Bali,3.1,False,remote_captive,3.85,GI 150 kV Kaliwungu - Randugarut 2,Jawa-Bali,grid_first,True,,True,,4.2,red,0.65,,,,,,best_pvout_fallback,,1.0,1.0,126.7
kek-sorong,Sorong,GI 150 kV PLTMG Sorong,150 kV,60.0,proxy_150kV,Papua,1.07,False,remote_captive,3.03,GI 150 kV Aimas (60 MVA No.1 dan 2),Papua,invest_substation,True,True,True,10.32,18.0,red,0.7,,,,,,substation_anchored,GI 150 kV PLTMG Sorong,1.0,1.0,73.89
kek-singhasari,Singhasari,GI 70 kV Porong,70 kV,40.0,actual,Jawa-Bali,5.14,False,remote_captive,4.01,GI 150 kV New Porong 1,Jawa-Bali,grid_ready,True,True,True,4.06,14.0,green,0.65,,,,,,substation_anchored,GI 70 kV Porong,1.0,1.0,11.2
