site_id,site_name,site_type,sector,primary_product,province,latitude,longitude,area_ha,capacity_annual,capacity_annual_tonnes,technology,parent_company,cbam_product_type
semen-gresik-tuban,Semen Gresik Tuban,standalone,cement,clinker,East Java,-6.87,112.04,,15.0 MTPA,15000000.0,Integrated,Semen Indonesia Group,cement
indocement-citeureup,Indocement Citeureup,standalone,cement,clinker,West Java,-6.479811,106.899118,,11.9 MTPA,11900000.0,Integrated,Indocement / Heidelberg,cement
semen-padang-indarung,Semen Padang Indarung,standalone,cement,clinker,West Sumatra,-0.947827,100.469967,,8.8 MTPA,8800000.0,Integrated,Semen Indonesia Group,cement
semen-tonasa,Semen Tonasa,standalone,cement,clinker,South Sulawesi,-4.789565,119.616409,,7.4 MTPA,7400000.0,Integrated,Semen Indonesia Group,cement
sbi-narogong,SBI Narogong,standalone,cement,clinker,West Java,-6.48,106.96,,6.06 MTPA,6060000.0,Integrated,Semen Indonesia Group,cement
conch-cement-serang,Conch Cement Serang,standalone,cement,clinker,Banten,-5.892955,106.082135,,4.4 MTPA,4400000.0,Grinding,Anhui Conch (China),cement
conch-cement-north-sulawesi,Conch Cement North Sulawesi,standalone,cement,clinker,North Sulawesi,0.895624,124.081963,,4.4 MTPA,4400000.0,Integrated,Anhui Conch (China),cement
semen-bosowa-maros,Semen Bosowa Maros,standalone,cement,clinker,South Sulawesi,-4.95,119.58,,4.2 MTPA,4200000.0,Integrated,Bosowa Corp,cement
red-lion-hongshi-tonga,Red Lion Hongshi Tonga,standalone,cement,clinker,East Kalimantan,0.988195,117.481986,,4.0 MTPA,4000000.0,Integrated,Hongshi (China),cement
semen-baturaja,Semen Baturaja,standalone,cement,clinker,South Sumatra,-4.116636,104.161351,,3.85 MTPA,3850000.0,Integrated,Semen Indonesia Group,cement
sbi-tuban,SBI Tuban,standalone,cement,clinker,East Java,-6.816488,111.885383,,3.73 MTPA,3730000.0,Integrated,Semen Indonesia Group,cement
indocement-palimanan,Indocement Palimanan,standalone,cement,clinker,West Java,-6.72,108.38,,3.62 MTPA,3620000.0,Integrated,Indocement / Heidelberg,cement
cemindo-gemilang-bayah,Cemindo Gemilang Bayah,standalone,cement,clinker,Banten,-6.954596,106.247008,,3.5 MTPA,3500000.0,Integrated,Cemindo Gemilang,cement
sbi-cilacap,SBI Cilacap,standalone,cement,clinker,Central Java,-7.687489,109.022305,,3.23 MTPA,3230000.0,Integrated,Semen Indonesia Group,cement
semen-imasco-asiatic-jember,Semen Imasco Asiatic Jember,standalone,cement,clinker,East Java,-8.348729,113.49255,,3.0 MTPA,3000000.0,Integrated,Hongshi (China),cement
si-gresik-rembang,SI Gresik Rembang,standalone,cement,clinker,Central Java,-6.866206,111.458833,,3.0 MTPA,3000000.0,Integrated,Semen Indonesia Group,cement
semeru-surya-semen-kutai,Semeru Surya Semen Kutai,standalone,cement,clinker,East Kalimantan,-0.541619,117.146701,,3.0 MTPA,3000000.0,Grinding,Semeru Surya Semen,cement
indocement-kotabaru-tarjun,Indocement Kotabaru Tarjun,standalone,cement,clinker,South Kalimantan,-3.271007,116.105835,,2.6 MTPA,2600000.0,Integrated,Indocement / Heidelberg,cement
semen-grobogan,Semen Grobogan,standalone,cement,clinker,Central Java,-7.089975,110.622539,,2.5 MTPA,2500000.0,Integrated,Indocement / Heidelberg,cement
semen-garuda-bekasi,Semen Garuda Bekasi,standalone,cement,clinker,West Java,-6.460507,107.212892,,2.5 MTPA,2500000.0,Integrated,Jui Shin Indonesia,cement
sbi-andalas-lhoknga,SBI Andalas Lhoknga,standalone,cement,clinker,Aceh,5.451139,95.246351,,1.84 MTPA,1840000.0,Integrated,Semen Indonesia Group,cement
semen-jawa-scg-sukabumi,Semen Jawa SCG Sukabumi,standalone,cement,clinker,West Java,-6.976314,106.861777,,1.8 MTPA,1800000.0,Integrated,Siam Cement Group,cement
semen-bosowa-banyuwangi,Semen Bosowa Banyuwangi,standalone,cement,clinker,East Java,-8.169003,114.391943,,1.8 MTPA,1800000.0,Grinding,Bosowa Corp,cement
cemindo-gemilang-ciwandan,Cemindo Gemilang Ciwandan,standalone,cement,clinker,Banten,-6.022556,105.960336,,1.75 MTPA,1750000.0,Grinding,Cemindo Gemilang,cement
conch-south-kalimantan,Conch South Kalimantan,standalone,cement,clinker,South Kalimantan,-2.05,115.42,,1.5 MTPA,1500000.0,Integrated,Anhui Conch (China),cement
cemindo-gemilang-batam,Cemindo Gemilang Batam,standalone,cement,clinker,Riau Islands,1.058643,104.135548,,1.2 MTPA,1200000.0,Grinding,Cemindo Gemilang,cement
semen-bosowa-batam,Semen Bosowa Batam,standalone,cement,clinker,Riau Islands,1.058782,104.136023,,1.2 MTPA,1200000.0,Grinding,Bosowa Corp,cement
semen-jakarta,Semen Jakarta,standalone,cement,clinker,Banten,-6.037574,105.985182,,1.0 MTPA,1000000.0,Grinding,Semen Jakarta,cement
semen-gresik-city,Semen Gresik City,standalone,cement,clinker,East Java,-7.170242,112.645549,,0.9 MTPA,900000.0,Grinding,Semen Indonesia Group,cement
solusi-bangun-cilegon,Solusi Bangun Cilegon,standalone,cement,clinker,Banten,-6.020475,105.958559,,0.6 MTPA,600000.0,Grinding,Semen Indonesia Group,cement
semen-kupang,Semen Kupang,standalone,cement,clinker,NTT,-10.194909,123.540076,,0.5 MTPA,500000.0,Integrated,Semen Indonesia Group,cement
conch-west-kalimantan,Conch West Kalimantan,standalone,cement,clinker,West Kalimantan,0.032069,109.23757,,0.5 MTPA,500000.0,Grinding,Anhui Conch (China),cement
krakatau-steel-cilegon,Krakatau Steel Cilegon,standalone,steel,crude_steel,Banten,-6.007021,106.001766,,4000000 TPA,4000000.0,EAF,Krakatau Steel,iron_steel
krakatau-posco-cilegon,Krakatau Posco Cilegon,standalone,steel,crude_steel,Banten,-5.998661,105.99866,,3000000 TPA,3000000.0,BF-BOF,POSCO / Krakatau Steel,iron_steel
dexin-steel-morowali,Dexin Steel Morowali,standalone,steel,crude_steel,Central Sulawesi,-2.829514,122.174896,,7000000 TPA,7000000.0,BF-BOF,Delong Holdings (China),iron_steel
gunung-raja-paksi-bekasi,Gunung Raja Paksi Bekasi,standalone,steel,crude_steel,West Java,-6.282658,107.117683,,1820000 TPA,1820000.0,EAF,Gunung Raja Paksi,iron_steel
master-steel-jakarta,Master Steel Jakarta,standalone,steel,crude_steel,DKI Jakarta,-6.18421,106.920067,,2000000 TPA,2000000.0,EAF,Master Steel MFG,iron_steel
