site_id,site_name,sector,site_type,has_kek_polygon,has_industrial_polygon,effective_polygon_coverage,polygon_priority,capacity_annual_tonnes,area_ha,demand_proxy_mwh,demand_mwh_2030,rooftop_solar_mwp_potential,building_data_confidence
indonesia-morowali-industrial-park-imip,Indonesia Morowali Industrial Park (IMIP),nickel,cluster,False,True,True,covered,6014929.0,,225559837.5,225559837.5,75.1491,medium
indonesia-pomalaa-industry-park-ipip,Indonesia Pomalaa Industry Park (IPIP),nickel,cluster,False,True,True,covered,2227000.0,,83512500.0,83512500.0,12.3056,medium
virtue-dragon-nickel-industrial-park-vdnip,Virtue Dragon Nickel Industrial Park (VDNIP),nickel,cluster,False,True,True,covered,2000000.0,,75000000.0,75000000.0,32.4636,medium
obi-island-industrial-park,Obi Island Industrial Park,nickel,cluster,False,True,True,covered,1970000.0,,73875000.0,73875000.0,0.0,low
industrial-weda-bay-industrial-park-iwip,Industrial Weda Bay Industrial Park (IWIP),nickel,cluster,False,True,True,covered,1741000.0,,65287500.0,65287500.0,0.0,medium
bantaeng-industrial-park-bip,Bantaeng Industrial Park (BIP),nickel,cluster,False,True,True,covered,263300.0,,9873750.0,9873750.0,18.0586,medium
freeport-smelter-gresik,Freeport Smelter Gresik,aluminium,standalone,False,True,True,covered,300000.0,,4500000.0,4500000.0,2.7773,medium
petrokimia-gresik,Petrokimia Gresik,fertilizer,standalone,False,True,True,covered,3400000.0,,3400000.0,3400000.0,68.5036,medium
krakatau-steel-cilegon,Krakatau Steel Cilegon,steel,standalone,False,True,True,covered,4000000.0,,2000000.0,2000000.0,87.514,medium
pupuk-sriwidjaja-palembang,Pupuk Sriwidjaja Palembang,fertilizer,standalone,False,True,True,covered,2000000.0,,2000000.0,2000000.0,16.7395,medium
industropolis-batang,Industropolis Batang,mixed,kek,True,False,True,covered,,2886.87,1948637.25,2124736.32,2.7197,low
kek-arun-lhokseumawe,Arun Lhokseumawe,mixed,kek,True,False,True,covered,,2622.48,1770174.0,1730836.8,42.4039,medium
semen-gresik-tuban,Semen Gresik Tuban,cement,standalone,False,True,True,covered,15000000.0,,1650000.0,1650000.0,14.319,medium
kek-galang-batang,Galang Batang,mixed,kek,True,False,True,covered,,2333.6,1575180.0,1540176.0,6.7494,low
kek-gresik,Gresik,mixed,kek,True,False,True,covered,,2167.0,1462725.0,1430220.0,16.0416,low
kek-sei-mangkei,Sei Mangkei,mixed,kek,True,False,True,covered,,2002.77,1351869.75,1321828.2,6.536,medium
indocement-citeureup,Indocement Citeureup,cement,standalone,False,True,True,covered,11900000.0,,1309000.0,1309000.0,63.4551,medium
pupuk-kujang-cikampek,Pupuk Kujang Cikampek,fertilizer,standalone,False,True,True,covered,1140000.0,,1140000.0,1140000.0,10.976,medium
pupuk-iskandar-muda-lhokseumawe,Pupuk Iskandar Muda Lhokseumawe,fertilizer,standalone,False,True,True,covered,1140000.0,,1140000.0,1140000.0,0.1908,medium
kek-palu,Palu,mixed,kek,True,False,True,covered,,1500.0,1012500.0,990000.0,4.238,low
kek-tanjung-lesung,Tanjung Lesung,mixed,kek,True,False,True,covered,,1500.0,1012500.0,756000.0,0.0,low
master-steel-jakarta,Master Steel Jakarta,steel,standalone,False,True,True,covered,2000000.0,,1000000.0,1000000.0,11.7569,medium
semen-padang-indarung,Semen Padang Indarung,cement,standalone,False,True,True,covered,8800000.0,,968000.0,968000.0,22.3355,medium
gunung-raja-paksi-bekasi,Gunung Raja Paksi Bekasi,steel,standalone,False,True,True,covered,1820000.0,,910000.0,910000.0,53.9596,medium
semen-tonasa,Semen Tonasa,cement,standalone,False,True,True,covered,7400000.0,,814000.0,814000.0,20.9538,medium
kek-morotai,Morotai,mixed,kek,True,False,True,covered,,1101.76,743688.0,555287.04,0.0,low
kek-lido,Lido,mixed,kek,True,False,True,covered,,1040.0,702000.0,524160.0,1.242,medium
kek-mandalika,Mandalika,mixed,kek,True,False,True,covered,,1035.67,699077.25,521977.68000000005,2.6865,medium
kek-kendal,Kendal,mixed,kek,True,False,True,covered,,1000.0,675000.0,660000.0,13.4324,medium
krakatau-posco-cilegon,Krakatau Posco Cilegon,steel,standalone,False,True,True,covered,3000000.0,,600000.0,600000.0,0.8207,medium
conch-cement-serang,Conch Cement Serang,cement,standalone,False,True,True,covered,4400000.0,,484000.0,484000.0,4.1662,medium
semen-bosowa-maros,Semen Bosowa Maros,cement,standalone,False,True,True,covered,4200000.0,,462000.0,462000.0,0.8025,medium
jakarta-prima-steel-industries,Jakarta Prima Steel Industries,steel,standalone,False,True,True,covered,900000.0,,450000.0,450000.0,9.1461,medium
semen-baturaja,Semen Baturaja,cement,standalone,False,True,True,covered,3850000.0,,423500.0,423500.0,6.0844,medium
sbi-tuban,SBI Tuban,cement,standalone,False,True,True,covered,3730000.0,,410300.0,410300.0,6.2857,medium
indocement-palimanan,Indocement Palimanan,cement,standalone,False,True,True,covered,3620000.0,,398200.0,398200.0,17.8481,medium
cemindo-gemilang-bayah,Cemindo Gemilang Bayah,cement,standalone,False,True,True,covered,3500000.0,,385000.0,385000.0,10.7144,medium
kek-maloy-batuta,Maloy Batuta Trans Kalimantan,mixed,kek,True,False,True,covered,,557.34,376204.5,367844.4,0.0,low
kek-bitung,Bitung,mixed,kek,True,False,True,covered,,534.0,360450.0,352440.0,13.9032,high
sbi-cilacap,SBI Cilacap,cement,standalone,False,True,True,covered,3230000.0,,355300.0,355300.0,10.1816,medium
kek-sorong,Sorong,mixed,kek,True,False,True,covered,,523.7,353497.50000000006,345642.00000000006,0.0,low
ispat-indo-sidoarjo,Ispat Indo Sidoarjo,steel,standalone,False,True,True,covered,700000.0,,350000.0,350000.0,9.9565,medium
kek-kura-kura,Kura Kura Bali,mixed,kek,True,False,True,covered,,498.0,336150.0,250992.0,0.0,medium
